origin_time,Ev. Lat,Ev. Long,Ev. Depth,Station,St. Lat,St. Long,Delay 2-4,Delay 4-8,Delay 8-16,Delay 16-32
2005-11-13T08:42:58.871332,36.716649,28.078055,66.772461,TUR6,37.0159,28.4262,0.710002,0.690002,1.640002,1.560002
2005-11-13T08:42:58.871332,36.716649,28.078055,66.772461,TUR4,37.08,27.8077,1.722002,0.922002,0.822002,0.762002
2005-11-13T08:42:58.871332,36.716649,28.078055,66.772461,TILO,36.4485,27.3535,1.168999,1.218999,11.618999,12.588999
2005-11-13T08:42:58.871332,36.716649,28.078055,66.772461,TUR5,37.0302,27.3167,1.156003,0.876003,1.016003,2.636003
2005-11-13T08:42:58.871332,36.716649,28.078055,66.772461,TUR8,36.8273,28.939,0.960002,2.490002,0.910002,10.310002
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,ASTY,36.5795,26.4114,0.642001,0.492001,12.602001,2.392001
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,KOSI,36.7449,26.9517,4.118001,1.678001,1.748001,14.788001
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,AMOE,36.915,25.9788,0.688003,1.478003,11.688003,9.118003
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,TUR5,37.0302,27.3167,0.737998,10.857998,13.617998,7.357998
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,ANID,36.6251,25.6847,1.700002,1.510002,9.350002,6.120002
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,SCHI,36.8744,25.518,1.035003,11.935003,8.385003,13.555003
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,SANT,36.37,25.46,0.568001,9.118001,,
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,APE,37.07,25.53,2.395,12.145,,
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,NAXO,36.98,25.44,0.809001,2.139001,9.569001,9.589001
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,IOSI,36.7347,25.3618,2.600002,4.510002,14.420002,13.410002
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,KAPA,35.6402,27.1376,2.074001,0.814001,0.674001,7.984001
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,TUR9,36.7015,28.0887,1.103001,2.253001,1.343001,5.903001
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,RHON,36.38,28.0844,1.143999,4.493999,3.353999,10.493999
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,KASO,35.4115,26.9152,0.515996,0.445996,0.415996,0.695996
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,ZKR,35.11,26.22,1.768004,3.268004,,
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,LAST,35.16,25.48,2.360002,2.510002,,
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,TUR8,36.8273,28.939,2.191998,1.561998,2.081998,2.821998
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,IDI,35.29,24.89,3.586003,1.448503,2.273503,2.098503
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,GVD,34.84,24.09,6.834993,4.984993,,
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,KYTH,36.1704,22.9887,2.462,7.152,11.912,11.732
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,PE07,37.1478,22.8195,3.382997,3.732997,3.332997,4.752997
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,PE06,37.1787,21.9252,5.49,3.36,4.95,1.98
2005-11-13T19:21:11.818925,36.617659,26.589631,140.380859,PE09,36.7921,21.8879,4.782998,3.592998,2.302998,7.272998
2005-11-14T15:21:22.389794,37.723298,21.673266,47.973633,PE03,37.3784,21.7722,2.109002,2.179002,1.909002,2.479002
2005-11-14T15:21:22.389794,37.723298,21.673266,47.973633,PE01,38.017,22.0283,1.212003,0.892003,2.212003,0.122003
2005-11-14T15:21:22.389794,37.723298,21.673266,47.973633,PE05,37.5128,22.4553,0.535998,5.555998,0.135998,11.635998
2005-11-14T15:21:22.389794,37.723298,21.673266,47.973633,PE04,37.6007,22.9593,1.487,1.077,1.007,1.337
2005-11-14T15:21:22.389794,37.723298,21.673266,47.973633,PE07,37.1478,22.8195,2.152004,1.792004,2.352004,3.372004
2005-11-14T23:17:53.158415,34.826514,24.663319,44.677734,SIVA,35.02,24.81,2.155997,1.905997,,
2005-11-14T23:17:53.158415,34.826514,24.663319,44.677734,GVD,34.84,24.09,4.160995,4.060995,,
2005-11-14T23:17:53.158415,34.826514,24.663319,44.677734,LAST,35.16,25.48,1.434996,4.034996,,
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,ASTY,36.5795,26.4114,0.864998,0.664998,12.474998,14.924998
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,KOSI,36.7449,26.9517,1.712003,1.552003,1.572003,1.912003
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,TILO,36.4485,27.3535,1.867999,2.237999,3.347999,10.477999
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,LERO,37.1634,26.8353,0.836997,0.986997,4.826997,11.796997
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,TUR5,37.0302,27.3167,0.853001,0.893001,13.863001,13.873001
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,AMOE,36.915,25.9788,0.768999,0.328999,13.538999,14.428999
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,TUR7,36.7017,27.5697,1.578,0.388,15.008,3.928
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,AMOS,36.7956,25.769,0.572998,1.222998,1.082998,1.312998
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,ANID,36.6251,25.6847,0.928,0.478,14.368,14.398
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,KAPA,35.6402,27.1376,1.954003,0.704003,2.524003,1.194003
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,SCHI,36.8744,25.518,0.497999,0.877999,13.647999,14.147999
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,RHOS,36.011,27.8197,1.365002,2.495002,0.985002,1.825002
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,APE,37.07,25.53,0.706998,9.206998,,
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,IOSI,36.7347,25.3618,0.502997,3.752997,7.672997,8.802997
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,RHON,36.38,28.0844,0.576,4.356,4.056,3.996
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,NAXO,36.98,25.44,0.958998,10.438998,14.188998,13.178998
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,TUR9,36.7015,28.0887,1.449004,1.569004,6.759004,7.859004
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,TUR3,37.4663,27.538,3.162004,0.012004,12.432004,5.202004
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,FOLE,36.6216,24.9197,1.067003,14.827003,14.257003,11.297003
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,ZKR,35.11,26.22,1.555002,0.855002,,
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,TUR6,37.0159,28.4262,1.617999,1.607999,1.087999,5.817999
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,LAST,35.16,25.48,1.323996,1.273996,,
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,TUR8,36.8273,28.939,0.935999,0.945999,0.735999,0.735999
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,IDI,35.29,24.89,2.619002,1.081502,0.731502,1.606502
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,SIVA,35.02,24.81,4.720999,3.470999,,
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,RETH,35.2934,24.4948,5.202,3.112,2.412,1.962
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,KARN,35.4,23.92,3.987997,4.137997,,
2005-11-16T00:56:28.634420,36.515577,26.709493,138.305664,PE07,37.1478,22.8195,2.607,4.277,5.167,5.247
